Ranger 5th level (target dying)	target self			cast single		'Resist Energy' class_ranger 1	target threatened			attack threatened			target ranged			target closest			attack			use potion			target closest			approach
Ranger 5th level	target self			cast single		'Resist Energy' class_ranger 1	target damaged			attack threatened			target ranged			target closest			attack			use potion			target closest			approach
Default (target dying)	target threatened			attack threatened			target ranged			target closest			attack			use potion			target closest			approach						
Iuz (target dying)	target threatened			attack threatened			target ranged			target closest			attack			use potion			target closest			approach						
Iuz	target damaged			attack threatened			target ranged			target closest			attack			use potion			target closest			approach						
St. Cuthbert (target dying)	target threatened			attack threatened			target ranged			target closest			attack			use potion			target closest			approach						
St. Cuthbert	target damaged			attack threatened			target ranged			target closest			attack			use potion			target closest			approach						
Default	attack threatened			target ranged			target closest			attack			use potion			target closest			approach									
Default (old)	target threatened			attack threatened			target closest																					
Default (not used)	target threatened			attack			target closest			attack																		
Default (for humans)	use potion			target ranged			target threatened			attack threatened			target closest															
Test	use potion			attack threatened			target closest			attack			approach			target friend hurt			approach									
Giant (old)	use potion			target threatened			attack			target closest			charge			attack												
Giant (middle)	use potion			target closest			charge			attack																		
Giant (target dying)	target threatened			attack threatened			use potion			target ranged			target closest			charge			attack			target closest			approach			
Giant	target damaged			attack threatened			use potion			target ranged			target closest			charge			attack			target closest			approach			
Fuck test	clear target			target threatened			target low ac			target prone			attack			target friend hurt			approach																		
Sniper (old)	sniper			use potion			target closest																														
Sniper	clear target			target closest			sniper			partial charge			use potion			attack
Flanker (old)	flank			use potion			attack			target closest																											
Tumbler (not used)	coup de grace			target closest			target threatened			target low ac			target prone			flank			attack			use potion			flank			coup de grace			target closest						
Tumbler  (not used 2)	coup de grace			target closest			target threatened			target low ac			target prone			flank			attack			use potion			flank			coup de grace			target closest						
Tumbler	coup de grace			use potion			target closest			target threatened			target low ac			target prone			flank			use potion			attack			flank			coup de grace			target closest			
Assassin	coup de grace			target ranged			target closest			target threatened			target low ac			target prone			attack threatened			use potion			flank			attack			flank			coup de grace			target closest
Rogue	use potion			coup de grace			target closest			target threatened			target low ac			target prone			flank			use potion			attack			flank			coup de grace			target closest			
Drow Rogue	target nearby buffed		'Faerie Fire' domain_special 3	use potion			target closest			target threatened			target low ac			target prone			flank			use potion			attack			flank			coup de grace			target closest			coup de grace
Mage-Sniper	reload			ready vs spell			sniper			partial charge			use potion																								
Orc Sniper	five foot step			ready vs spell			sniper			sniper			use potion																					
Defender	ready vs approach			use potion																																	
Berzerker (old)	rage			power attack			target closest			target prone			use potion																								
Berzerker (not used)	rage			power attack			target threatened			attack			target closest			target damaged			target low ac			target prone			attack			use potion									
Berzerker (last)	rage			coup de grace			use potion			power attack			target threatened			attack			target closest			target damaged			target low ac			target prone			use potion			attack			
Berzerker	rage			coup de grace			use potion			power attack			target ranged			target closest			target threatened			target damaged			target low ac			target prone			use potion			attack threatened			attack			target closest			approach															
Orc Berzerker	rage			coup de grace			use potion			power attack			target ranged			target closest			target threatened			target damaged			target low ac			target prone			use potion			attack threatened			attack			target closest			approach															
Drow Berzerker	rage			coup de grace			use potion			target nearby buffed		'Faerie Fire' domain_special 3	target ranged			target closest			target threatened			target damaged			target low ac			target prone			use potion			attack threatened			attack			target closest			approach															
Thug Leader	five foot step			use potion			rage			coup de grace			target ranged			target closest			target threatened			target damaged			target low ac			target prone			use potion			attack threatened			attack			target closest																		
Orc Leader	five foot step			use potion			rage			coup de grace			target ranged			target closest			target threatened			target damaged			target low ac			target prone			use potion			attack threatened			attack			target closest																		
Hired Thug (target dying)	use potion			coup de grace			target threatened			attack threatened			target ranged			target closest			target damaged			target low ac			target prone			power attack			use potion			attack			target closest			approach																		
Hired Thug	use potion			coup de grace			target damaged			attack threatened			target ranged			target closest			target damaged			target low ac			target prone			power attack			use potion			attack			target closest			approach																		
Opportunist (old)	target prone			flank			expertise			use potion			attack			target closest																																										
Opportunist (mine)	target threatened			expertise			attack			target damaged			target low ac			target prone			target threatened			flank			use potion			attack			target closest																											
Opportunist	target threatened			expertise			attack threatened			coup de grace			flank			use potion			attack			flank									target closest																											
Charmed (target dying)	target closest			cast fireball		'Fireball' class_wizard 3	cast fireball		'Fireball' class_sorcerer 3	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Serious Wounds' class_cleric 3	cast fireball		'Sound Burst' class_bard 2	cast single		'Slay Living' class_cleric 5	cast single		'Melfs Acid Arrow' class_sorcerer 2	cast single		'Melfs Acid Arrow' class_wizard 2	cast single		'Phantasmal Killer' class_sorcerer 4	cast single		'Phantasmal Killer' class_wizard 4	cast single		'Tashas Hideous Laughter' class_wizard 2	cast single		'Tashas Hideous Laughter' class_sorcerer 2	cast single		'Tashas Hideous Laughter' class_bard 2	cast single		'Hold Person' class_sorcerer 3	cast single		'Hold Person' class_wizard 3	cast single		'Hold Person' class_bard 2	target threatened			attack threatened			use potion
Charmed	target closest			cast fireball		'Fireball' class_wizard 3	cast fireball		'Fireball' class_sorcerer 3	cast single		'Searing Light' class_cleric 3	cast single		'Inflict Serious Wounds' class_cleric 3	cast fireball		'Sound Burst' class_bard 2	cast single		'Slay Living' class_cleric 5	cast single		'Melfs Acid Arrow' class_sorcerer 2	cast single		'Melfs Acid Arrow' class_wizard 2	cast single		'Phantasmal Killer' class_sorcerer 4	cast single		'Phantasmal Killer' class_wizard 4	cast single		'Tashas Hideous Laughter' class_wizard 2	cast single		'Tashas Hideous Laughter' class_sorcerer 2	cast single		'Tashas Hideous Laughter' class_bard 2	cast single		'Hold Person' class_sorcerer 3	cast single		'Hold Person' class_wizard 3	cast single		'Hold Person' class_bard 2	target damaged			attack threatened			use potion
Flanker (with ranged)	coup de grace			use potion			target closest			target bad reflex			target bad will			target damaged			target low ac			target prone			target threatened			flank			use potion			attack			flank			coup de grace			target closest															
Flanker (no ranged) (target dying)	coup de grace			use potion			target threatened			attack			target closest			target low ac			target damaged			target prone			target threatened			flank			use potion			attack			flank			coup de grace			target closest															
Flanker (no ranged)	coup de grace			use potion			attack threatened			target threatened			target closest			target low ac			target damaged			target prone			target threatened			flank			use potion			attack			flank			coup de grace			target closest															
Gnoll (no ranged)	coup de grace			use potion			attack threatened			target threatened			target closest			target prone			target low ac			target damaged			target threatened			flank			use potion			attack			flank			coup de grace			target closest															
Gnoll 2 (no ranged)	coup de grace			use potion			attack threatened			target threatened			target closest			target prone			target damaged			target low ac			target threatened			flank			use potion			attack			flank			coup de grace			target closest																		
Barbarian (tumbler no ranged)	rage			coup de grace			use potion			target threatened			power attack			attack threatened			target closest			target damaged			target low ac			target prone			target threatened			flank			use potion			attack			flank			target closest															
Expertise (tumbler no ranged)	coup de grace			use potion			target threatened			expertise			attack threatened			target closest			target damaged			target low ac			target prone			target threatened			flank			use potion			attack			flank			target closest																		
Expertise (tumbler with ranged)	coup de grace			expertise			use potion			target closest			target bad reflex			target bad will			target damaged			target low ac			target prone			target threatened			flank			use potion			attack			flank			coup de grace																		
Tripper (old)	target closest			trip			target prone			use potion			attack			target closest																																													
Tripper (full) (old)	coup de grace			target low ac			trip			target closest			target prone			power attack			use potion			attack			target closest																																				
Tripper (half) (old)	coup de grace			target threatened			attack			target low ac			trip			target closest			target prone			use potion			attack			target closest																																	
Tripper (full)	coup de grace			use potion			target low ac			trip			target closest			target prone			power attack			use potion			attack			target closest																																	
Wizard 5th level (old)	clear target			target self			cast single		'Mirror Image' class_wizard 2	clear target			target friend nospell		'Enlarge' class_wizard 1	cast single		'Enlarge' class_wizard 1	clear target			target closest			cast single		'Ray of Enfeeblement' class_wizard 1	cast single		'Slow' class_wizard 3	cast single		'Hold Person' class_wizard 3	cast single	 	'Daze' class_wizard 0	clear target			target ranged			cast fireball		'Fireball' class_wizard 3	clear target			sniper			use potion									
Wizard 5th level	target self			cast single		'Mirror Image' class_wizard 2	cast single		'Shield' class_wizard 1	clear target			target high ac			cast single		'Ray of Enfeeblement' class_wizard 1	clear target			target low ac			cast single		'Hold Person' class_wizard 3	clear target			target nospell			cast single	 	'Slow' class_wizard 3	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			target ranged			cast fireball		'Fireball' class_wizard 3	clear target						
Wizard (keep)	target ranged			cast fireball		'Fireball' class_wizard 3	clear target			target self			cast single		'Mirror Image' class_wizard 2	cast single		'Shield' class_wizard 1	clear target			target threatened			cast single		'Hold Person' class_wizard 3	clear target			target low ac			cast single	 	'Melfs Acid Arrow' class_wizard 2	clear target			target high ac			cast single		'Magic Missile' class_wizard 1	clear target			target threatened			cast single		'Daze' class_wizard 0	clear target			sniper			
Wizard (??)	clear target			five foot step			target ranged			cast fireball		'Fireball' class_wizard 3	target self			cast single		'Mirror Image' class_wizard 2	cast single		'Shield' class_wizard 1	target threatened			cast single		'Hold Person' class_wizard 3	clear target			target closest			cast single	 	'Magic Missile' class_wizard 1	target closest			cast single		'Melfs Acid Arrow' class_wizard 2	clear target			target threatened			cast single		'Daze' class_wizard 0	clear target			target closest			attack			
Sorcerer	target closest			cast single		'Magic Missile' class_sorcerer 1	cast single		'Ray of Enfeeblement' class_sorcerer 1	target threatened			attack threatened			use potion			target closest																																										
Wizard	five foot step			target ranged			cast fireball		'Fireball' class_wizard 3	target self			cast single		'Shield' class_wizard 1	cast single		'Mirror Image' class_wizard 2	target threatened			cast single		'Hold Person' class_wizard 3	coup de grace			use potion			target ranged			target closest	 		cast single		'Tashas Hideous Laughter' class_wizard 2	cast single		'Magic Missile' class_wizard 1	cast single		'Hold Person' class_wizard 3	cast fireball		'Fireball' class_wizard 3	cast single		'Daze' class_wizard 0	cast single		'Fireball' class_wizard 3	target closest			attack			
Drow Wizard	five foot step			target closest			cast fireball		'Shout' class_wizard 4	cast fireball		'Ice Storm' class_wizard 4	cast fireball		'Fireball' class_wizard 3	cast fireball		'Deep Slumber' class_wizard 3	cast single		'Faerie Fire' domain_special 3	cast fireball		'Web' class_wizard 2	cast fireball		'Stinking Cloud' class_wizard 3	cast single		'Tashas Hideous Laughter' class_wizard 2	cast fireball		'Grease' class_wizard 1	cast single		'Ray of Enfeeblement' class_wizard 1	cast single		'Scorching Ray' class_wizard 2	cast area		'Burning hands' class_wizard 1	attack			attack				
Zaxis	use potion			clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_bard 2	cast single		'Cure Light Wounds' class_bard 1	clear target			target threatened			cast single		'Tashas Hideous Laughter' class_bard 1	cast single		'Blindness/Deafness' class_bard 2	target ranged			target closest			cast single	 	'Tashas Hideous Laughter' class_bard 1	cast single		'Blindness/Deafness' class_bard 2	target closest																					
Visionmaker	five foot step			target ranged			cast fireball		'Web' class_wizard 2	cast fireball		'Fireball' class_wizard 3	target self			cast single		'Mage Armor' class_wizard 1	cast single		'Mirror Image' class_wizard 2	clear target			target ranged			target closest			cast fireball		'Fireball' class_wizard 3	cast single	 	'Summon Monster II' class_wizard 2	cast fireball		'Deep Slumber' class_wizard 3	cast single		'Magic Missile' class_wizard 1	cast single		'Web' class_wizard 2	cast single		'Fireball' class_wizard 3	use potion			target closest						
Darley	use potion			target self			cast single		'Blur' class_sorcerer 2	clear target			target ranged			target closest			cast fireball		'Mind Fog' class_sorcerer 5	cast single		'Charm Person' class_sorcerer 1	clear target			target threatened			target closest			cast single	 	'Vampiric Touch' class_sorcerer 3	cast single		'Suggestion' class_sorcerer 3	cast single		'Magic Missile' class_sorcerer 1	cast single		'Magic Missile' class_sorcerer 1	cast single		'Vampiric Touch' class_sorcerer 3	use potion			target closest						
Enchantress	use potion			five foot step			target threatened			cast single		'Suggestion' class_wizard 3	cast single		'Hold Person' class_wizard 3	target ranged			target closest			cast fireball		'Confusion' class_wizard 4	cast party		'Slow' class_wizard 3	cast area		'Crushing Despair' class_wizard 4	cast single		'Deep Slumber' class_wizard 3	cast single	 	'Tashas Hideous Laughter' class_wizard 2	cast single		'Charm Person' class_wizard 1	cast single		'Magic Missile' class_wizard 1	cast single		'Melfs Acid Arrow' class_wizard 2	cast single		'Suggestion' class_wizard 3	cast single		'Hold Person' class_wizard 3							
Zuggtmoy Priest	use potion			target threatened			cast single		'Bestow Curse' class_cleric 3	cast single		'Inflict Critical Wounds' class_cleric 4	cast single		'Inflict Serious Wounds' class_cleric 3	target ranged			target closest			cast single		'Blindness/Deafness' class_cleric 3	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single	 	'Cure Serious Wounds' class_cleric 3	clear target			target threatened			cast single		'Doom' class_cleric 1	cast single		'Inflict Moderate Wounds' class_cleric 2	target closest			cast single		'Command' class_cleric 1	use potion			
Deggum Casting (225)	five foot step			target self			cast single		'Mirror Image' class_wizard 2	cast area		'Bless' class_cleric 1	target closest			cast single		'Spiritual Weapon' class_cleric 2	target bad will			cast single		'Hold Person' class_cleric 2	target damaged			cast single		'Magic Missile' class_wizard 1	target self			cast single		'Enlarge' domain_strength 1	cast single		'Bulls Strength' class_wizard 2	target closest			cast single		'Inflict Moderate Wounds' class_cleric 2	target closest			attack
Wizard test	target threatened			target closest																															 																							
Wizard (2)	clear target			target ranged			cast single		'Fireball' class_wizard 3	target self			cast single		'Mirror Image' class_wizard 2	cast single		'Shield' class_wizard 1	clear target			target threatened			cast single		'Hold Person' class_wizard 3	clear target			target low ac			cast single	 	'Melfs Acid Arrow' class_wizard 2	clear target			target high ac			cast single		'Magic Missile' class_wizard 1	clear target			target closest			cast single		'Daze' class_wizard 0	clear target			sniper
Skeleton Mage	clear target			target ranged			cast single			five foot step			target self			cast single			clear target			target bad will			cast single		'Charm Person' class_wizard 3	cast single		'Tashas Hideous Laughter' class_wizard 3	clear target			target closest			cast single		'Burning Hands' class_wizard 3	cast single		'Ray of Enfeeblement' class_wizard 3	cast single		'Ray of Frost' class_wizard 0	clear target			target ranged			sniper			use potion			
Skeleton Mage (middle)	target closest			cast single		'Desecrate' class_cleric 2	target self		'Shield of Faith' class_cleric 1	clear target																																																
Skeleton Mage (third)	five foot step			target closest			cast single		'Desecrate' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	clear target			target damaged			cast single		'Death Knell' class_cleric 2	cast single		'Animate Dead' class_cleric 3	clear target			attack threatened			target closest																								
Skeleton Mage (fourth)	target closest			cast single		'Desecrate' class_cleric 2	clear target			target damaged			cast single		'Death Knell' class_cleric 2	cast single		'Animate Dead' class_cleric 3	clear target																																							
Skeleton Mage (fifth)	five foot step			target self			cast single		'Desecrate' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	clear target			target closest			cast single		'Sound Burst' class_cleric 2	clear target			target closest			cast single		'Inflict Light Wounds' class_cleric 1	clear target			attack threatened			target closest			attack		five foot step													
Skeleton Priest	use potion			target self			cast single		'Desecrate' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	clear target			target closest			cast single		'Sound Burst' class_cleric 2	clear target			target closest			cast single		'Inflict Light Wounds' class_cleric 1	clear target			target closest			attack			use potion															
Skeleton Longspear (target dying)	clear target			five foot step			target threatened			attack threatened			use potion			target ranged			target closest			attack																																				
Skeleton Longspear	clear target			five foot step			target damaged			attack threatened			use potion			target ranged			target closest			attack																																				
Spellcaster Test	clear target			target self			use potion			clear target																																																
Ogre Shaman (old)	target nearby buffed			cast area		'Dispel Magic' domain_cleric 3	target self			cast area		'Bane' class_cleric 1	cast area		'Bless' class_cleric 1	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target friend nospell			cast single		'Bulls Strength' class_cleric 2	clear target			attack threatened			target closest			attack			use potion						
Greater Ogre Shaman	target nearby buffed			cast area		'Dispel Magic' domain_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			attack threatened			clear target			target friend nospell			cast single		'Bulls Strength' class_cleric 2	target self			cast single		'Bulls Strength' class_cleric 2	cast single		'Bears Endurance' class_cleric 2	clear target			target closest			use potion			attack
Ogre Shaman	target self			cast area		'Bane' class_cleric 1	cast area		'Bless' class_cleric 1	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			attack threatened			clear target			target friend nospell			cast single		'Bulls Strength' class_cleric 2	target self			cast single		'Bulls Strength' class_cleric 2	clear target			target closest			use potion			attack			
Junk Cleric 5th level (old)	target self			cast area		'Bane' class_cleric 1	cast area		'Bless' class_cleric 1	target friend hurt			approach			cast single		'Cure Light Wounds' class_cleric 1	cast single		'Cure Serious Wounds' class_cleric 3	clear target			target friend high ac			cast single		'Bulls Strength' class_cleric 2	target closest			cast single	attack threatened	'Hold Person' class_cleric 2	target self			cast single		'Spiritual Weapon' class_cleric 2	clear target			target closest			attack			use potion						
Junk Cleric 5th level (middle)	target self			cast area		'Prayer' class_cleric 3	clear target									cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target friend nospell			cast single		'Cats Grace' class_cleric 2	cast single		'Bulls Strength' class_cleric 2	target closest			cast single	attack threatened	'Hold Person' class_cleric 2	target self			cast single		'Divine Favor' class_cleric 1	cast single		'Spiritual Weapon' class_cleric 2	clear target			target closest			attack			attack
Cleric 3rd level	target self			cast single		'Shield of Faith' class_cleric 1	cast single		'Bulls Strength' class_cleric 2	target threatened			coup de grace			cast single		'Hold Person' class_cleric 2	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target closest			target prone			target threatened			use potion			coup de grace			attack									
Cleric 3rd level (water)	target self			cast area		'Bane' class_cleric 1	cast single		'Shield of Faith' class_cleric 1	target threatened			cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Inflict Light Wounds' class_cleric 1	cast single		'Bestow Curse' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	target closest			use potion			coup de grace			attack			
Cleric 5th level	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Bane' class_cleric 1	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	cast single		'Bestow Curse' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	target closest			target threatened			use potion			coup de grace						
Cleric 4th level	target self			cast area		'Shield of Faith' class_cleric 1	cast single		'Bane' class_cleric 1	target threatened			cast single		'Inflict Moderate Wounds' class_cleric 2	cast single		'Bestow Curse' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	target closest			target threatened			use potion			coup de grace						
Cleric 5th level (air)	use potion			target self			cast area		'Bane' class_cleric 1	cast single		'Wind Wall' class_cleric 3	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	cast single		'Contagion' class_cleric 3	cast single		'Cause Fear' class_cleric 1	cast single		'Inflict Moderate Wounds' class_cleric 2	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target ranged			cast fireball		'Sound Burst' class_cleric 2	target ranged			target closest			coup de grace
Cleric 4th level (fire)	target ranged			cast fireball		'Sound Burst' class_cleric 2	target self			cast area		'Bane' class_cleric 1	cast single		'Shield of Faith' class_cleric 1	clear target			target friend hurt			cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target threatened			cast area		'Burning Hands' class_cleric 1	cast single		'Cause Fear' class_cleric 1	cast single		'Inflict Light Wounds' class_cleric 1	target ranged			target closest			use potion			coup de grace			attack			
Cleric 8th level (fire) (old)	target self			cast single		'Shield of Faith' class_cleric 1	cast single		'Death Ward' class_cleric 4	target threatened			cast single		'Inflict Critical Wounds' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target threatened			cast area		'Burning Hands' class_cleric 1	target closest			target threatened			cast fireball		'Sound Burst' class_cleric 2	cast single		'Command' class_cleric 1	cast single		'Searing Light' class_cleric 3	cast single		'Hold Person' class_cleric 2	cast single		'Bestow Curse' class_cleric 3	use potion
Cleric 8th level (fire - old)	target self			cast single		'Shield of Faith' class_cleric 1	cast single		'Death Ward' class_cleric 4	target threatened			cast single		'Inflict Critical Wounds' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target threatened			cast area		'Burning Hands' class_cleric 1	target closest			cast fireball		'Sound Burst' class_cleric 2	cast single		'Command' class_cleric 1	cast single		'Searing Light' class_cleric 3	cast single		'Hold Person' class_cleric 2	cast single		'Bestow Curse' class_cleric 3	use potion
Cleric 8th level (fire)	use potion			target self		'Death Ward' class_cleric 4	target threatened			cast single		'Inflict Critical Wounds' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	clear target			target threatened			cast area		'Burning Hands' class_cleric 1	target closest			cast fireball		'Sound Burst' class_cleric 2	cast single		'Command' class_cleric 1	cast single		'Searing Light' class_cleric 3	cast single		'Hold Person' class_cleric 2	cast single		'Bestow Curse' class_cleric 3	target ranged			target closest
Cleric 6th level (earth) (old)	target ranged			cast area		'Soften Earth and Stone' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	target self			cast single		'Divine Favor' class_cleric 1	target threatened			cast single		'Command' class_cleric 1	attack			target closest			attack			use potion
Cleric 6th level (earth) (hmmmm)	target ranged			cast area		'Soften Earth and Stone' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target self			cast single		'Divine Favor' class_cleric 1	clear target			target threatened			cast single		'Command' class_cleric 1	attack			target closest			attack			use potion
Cleric 6th level (earth - old)	target ranged			cast area		'Soften Earth and Stone' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target self			cast single		'Divine Favor' class_cleric 1	clear target			target threatened			cast single		'Command' class_cleric 1	target prone			target closest			use potion			attack		
Cleric 6th level (earth)	target ranged			cast area		'Soften Earth and Stone' class_cleric 2	target self			cast area		'Prayer' class_cleric 3	target threatened			cast single		'Inflict Serious Wounds' class_cleric 3	clear target			target friend hurt			cast single		'Cure Serious Wounds' class_cleric 3	cast single		'Cure Moderate Wounds' class_cleric 2	target self			cast single		'Divine Favor' class_cleric 1	clear target			target threatened			cast single		'Command' class_cleric 1	target ranged			target closest			target prone			use potion			attack threatened		
Cleric 2nd level (earth)	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Bless' class_cleric 1	cast single		'Guidance' class_cleric 0	clear target			target friend hurt			cast single		'Cure Light Wounds' class_cleric 1	clear target			use potion			target threatened			attack threatened			target closest			target prone			use potion																				
Cleric 1st level	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Bane' class_cleric 1	cast single		'Guidance' class_cleric 0	clear target			target friend hurt			cast single		'Cure Light Wounds' class_cleric 1	clear target			use potion			target threatened			cast single		'Command' class_cleric 1	attack threatened			target ranged			target closest			target prone			use potion														
Cleric 7th level (earth)  [not used]	target ranged			cast area		'Soften Earth and Stone' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target threatened			attack			clear target			target closest			cast single		'Searing Light' class_cleric 3	target closest			attack			use potion		
Cleric 7th level (water)  [switch?]	target ranged			cast area		'Sleet Storm' class_cleric 3	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target threatened			attack			clear target			target closest			cast single		'Searing Light' class_cleric 3	target closest			attack			use potion		
Cleric 7th level (old)	target self			cast area		'Fog Cloud' class_cleric 2	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target threatened			attack			clear target			target closest			cast single		'Searing Light' class_cleric 3	target closest			use potion			attack		
Cleric 7th level (water old)	target self			cast single		'Shield of Faith' class_cleric 1	cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	clear target			target threatened			cast single		'Hold Person' class_cleric 2	coup de grace			attack			clear target			target closest			target high ac			cast single		'Searing Light' class_cleric 3	target closest			use potion		
Cleric 7th level (water)	use potion			target self			cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	coup de grace			clear target			target threatened			cast single		'Hold Person' class_cleric 2	attack threatened			target ranged			target closest			target high ac			cast fireball		'Sound Burst' class_cleric 2	cast single		'Searing Light' class_cleric 3	target closest		
Cleric 7th level (water originial)	use potion			target self			cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	coup de grace			clear target			target threatened			cast single		'Hold Person' class_cleric 2	attack threatened			target ranged			target closest			target high ac			attack threatened			cast fireball		'Sound Burst' class_cleric 2	cast single		'Searing Light' class_cleric 3
Cleric 7th level (original)	use potion			target self			cast area		'Prayer' class_cleric 3	cast single		'Divine Power' class_cleric 4	clear target			target friend hurt			cast single		'Cure Critical Wounds' class_cleric 4	cast single		'Cure Moderate Wounds' class_cleric 2	cast single		'Cure Light Wounds' class_cleric 1	coup de grace			clear target			target threatened			cast single		'Hold Person' class_cleric 2	clear target			target ranged			target low ac			cast fireball		'Silence' class_cleric 2	target closest			cast single		'Searing Light' class_cleric 3	target closest		
